Date,Price,Open,High,Low,Change %
2006-10-30,2115.63,2115.63,2115.63,2115.63,0.05
2006-10-31,2115.65,2115.65,2115.65,2115.65,0
2006-11-01,2100.36,2100.36,2100.36,2100.36,-0.72
2006-11-02,2100.21,2100.21,2100.21,2100.21,-0.01
2006-11-03,2095.68,2095.68,2095.68,2095.68,-0.22
2006-11-06,2119.53,2119.53,2119.53,2119.53,1.14
2006-11-07,2124.28,2124.28,2124.28,2124.28,0.22
2006-11-08,2129.22,2129.22,2129.22,2129.22,0.23
2006-11-09,2118.32,2118.32,2118.32,2118.32,-0.51
2006-11-10,2122.26,2122.26,2122.26,2122.26,0.19
2006-11-13,2128.17,2128.17,2128.17,2128.17,0.28
2006-11-14,2141.95,2141.95,2141.95,2141.95,0.65
2006-11-15,2147.6,2147.6,2147.6,2147.6,0.26
2006-11-16,2152.57,2152.57,2152.57,2152.57,0.23
2006-11-17,2154.8,2154.8,2154.8,2154.8,0.1
2006-11-20,2153.76,2153.76,2153.76,2153.76,-0.05
2006-11-21,2157.42,2157.42,2157.42,2157.42,0.17
2006-11-22,2162.65,2162.65,2162.65,2162.65,0.24
2006-11-24,2154.96,2154.96,2154.96,2154.96,-0.36
2006-11-27,2125.67,2125.67,2125.67,2125.67,-1.36
2006-11-28,2133.52,2133.52,2133.52,2133.52,0.37
2006-11-29,2154.09,2154.09,2154.09,2154.09,0.96
2006-11-30,2155.89,2155.89,2155.89,2155.89,0.08
2006-12-01,2149.85,2149.85,2149.85,2149.85,-0.28
2006-12-04,2169,2169,2169,2169,0.89
2006-12-05,2177.75,2177.75,2177.75,2177.75,0.4
2006-12-06,2175.45,2175.45,2175.45,2175.45,-0.11
2006-12-07,2166.87,2166.87,2166.87,2166.87,-0.39
2006-12-08,2170.84,2170.84,2170.84,2170.84,0.18
2006-12-11,2175.8,2175.8,2175.8,2175.8,0.23
2006-12-12,2173.58,2173.58,2173.58,2173.58,-0.1
2006-12-13,2176.52,2176.52,2176.52,2176.52,0.14
2006-12-14,2195.59,2195.59,2195.59,2195.59,0.88
2006-12-15,2198.07,2198.07,2198.07,2198.07,0.11
2006-12-18,2190.97,2190.97,2190.97,2190.97,-0.32
2006-12-19,2195.8,2195.8,2195.8,2195.8,0.22
2006-12-20,2192.76,2192.76,2192.76,2192.76,-0.14
2006-12-21,2185.21,2185.21,2185.21,2185.21,-0.34
2006-12-22,2173.9,2173.9,2173.9,2173.9,-0.52
2006-12-26,2183.38,2183.38,2183.38,2183.38,0.44
2006-12-27,2199.15,2199.15,2199.15,2199.15,0.72
2006-12-28,2196,2196,2196,2196,-0.14
2006-12-29,2186.13,2186.13,2186.13,2186.13,-0.45
2007-01-03,2183.92,2183.92,2183.92,2183.92,-0.1
2007-01-04,2186.6,2186.6,2186.6,2186.6,0.12
2007-01-05,2173.29,2173.29,2173.29,2173.29,-0.61
2007-01-08,2178.8,2178.8,2178.8,2178.8,0.25
2007-01-09,2177.68,2177.68,2177.68,2177.68,-0.05
2007-01-10,2182.16,2182.16,2182.16,2182.16,0.21
2007-01-11,2196.02,2196.02,2196.02,2196.02,0.64
2007-01-12,2206.68,2206.68,2206.68,2206.68,0.49
2007-01-16,2208.48,2208.48,2208.48,2208.48,0.08
2007-01-17,2206.7,2206.7,2206.7,2206.7,-0.08
2007-01-18,2200.2,2200.2,2200.2,2200.2,-0.29
2007-01-19,2206.6,2206.6,2206.6,2206.6,0.29
2007-01-22,2195,2195,2195,2195,-0.53
2007-01-23,2202.77,2202.77,2202.77,2202.77,0.35
2007-01-24,2221.56,2221.56,2221.56,2221.56,0.85
2007-01-25,2196.54,2196.54,2196.54,2196.54,-1.13
2007-01-26,2193.89,2193.89,2193.89,2193.89,-0.12
2007-01-29,2191.71,2191.71,2191.71,2191.71,-0.1
2007-01-30,2204.4,2204.4,2204.4,2204.4,0.58
2007-01-31,2219.19,2219.19,2219.19,2219.19,0.67
2007-02-01,2231.61,2231.61,2231.61,2231.61,0.56
2007-02-02,2235.39,2235.39,2235.39,2235.39,0.17
2007-02-05,2233.44,2233.44,2233.44,2233.44,-0.09
2007-02-06,2235.02,2235.02,2235.02,2235.02,0.07
2007-02-07,2239.05,2239.05,2239.05,2239.05,0.18
2007-02-08,2236.46,2236.46,2236.46,2236.46,-0.12
2007-02-09,2220.72,2220.72,2220.72,2220.72,-0.7
2007-02-12,2213.58,2213.58,2213.58,2213.58,-0.32
2007-02-13,2230.8,2230.8,2230.8,2230.8,0.78
2007-02-14,2248.4,2248.4,2248.4,2248.4,0.79
2007-02-15,2250.97,2250.97,2250.97,2250.97,0.11
2007-02-16,2249.06,2249.06,2249.06,2249.06,-0.08
2007-02-20,2255.48,2255.48,2255.48,2255.48,0.29
2007-02-21,2252.43,2252.43,2252.43,2252.43,-0.13
2007-02-22,2251.03,2251.03,2251.03,2251.03,-0.06
2007-02-23,2243.26,2243.26,2243.26,2243.26,-0.35
2007-02-26,2240.73,2240.73,2240.73,2240.73,-0.11
2007-02-27,2163.11,2163.11,2163.11,2163.11,-3.46
2007-02-28,2175.78,2175.78,2175.78,2175.78,0.59
2007-03-01,2170.17,2170.17,2170.17,2170.17,-0.26
2007-03-02,2145.43,2145.43,2145.43,2145.43,-1.14
2007-03-05,2125.34,2125.34,2125.34,2125.34,-0.94
2007-03-06,2158.36,2158.36,2158.36,2158.36,1.55
2007-03-07,2153.65,2153.65,2153.65,2153.65,-0.22
2007-03-08,2169.14,2169.14,2169.14,2169.14,0.72
2007-03-09,2170.62,2170.62,2170.62,2170.62,0.07
2007-03-12,2176.5,2176.5,2176.5,2176.5,0.27
2007-03-13,2132.76,2132.76,2132.76,2132.76,-2.01
2007-03-14,2147.18,2147.18,2147.18,2147.18,0.68
2007-03-15,2155.18,2155.18,2155.18,2155.18,0.37
2007-03-16,2146.93,2146.93,2146.93,2146.93,-0.38
2007-03-19,2170.33,2170.33,2170.33,2170.33,1.09
2007-03-20,2184.1,2184.1,2184.1,2184.1,0.63
2007-03-21,2221.46,2221.46,2221.46,2221.46,1.71
2007-03-22,2220.68,2220.68,2220.68,2220.68,-0.04
2007-03-23,2223.12,2223.12,2223.12,2223.12,0.11
2007-03-26,2225.26,2225.26,2225.26,2225.26,0.1
2007-03-27,2211.52,2211.52,2211.52,2211.52,-0.62
2007-03-28,2194.38,2194.38,2194.38,2194.38,-0.77
2007-03-29,2202.68,2202.68,2202.68,2202.68,0.38
2007-03-30,2200.12,2200.12,2200.12,2200.12,-0.12
2007-04-02,2205.85,2205.85,2205.85,2205.85,0.26
2007-04-03,2226.76,2226.76,2226.76,2226.76,0.95
2007-04-04,2229.25,2229.25,2229.25,2229.25,0.11
2007-04-05,2236.71,2236.71,2236.71,2236.71,0.33
2007-04-09,2238.03,2238.03,2238.03,2238.03,0.06
2007-04-10,2243.93,2243.93,2243.93,2243.93,0.26
2007-04-11,2229.44,2229.44,2229.44,2229.44,-0.65
2007-04-12,2243.3,2243.3,2243.3,2243.3,0.62
2007-04-13,2251.12,2251.12,2251.12,2251.12,0.35
2007-04-16,2275.35,2275.35,2275.35,2275.35,1.08
2007-04-17,2280.01,2280.01,2280.01,2280.01,0.2
2007-04-18,2281.61,2281.61,2281.61,2281.61,0.07
2007-04-19,2278.91,2278.91,2278.91,2278.91,-0.12
2007-04-20,2300.08,2300.08,2300.08,2300.08,0.93
2007-04-23,2294.82,2294.82,2294.82,2294.82,-0.23
2007-04-24,2294.02,2294.02,2294.02,2294.02,-0.04
2007-04-25,2317.5,2317.5,2317.5,2317.5,1.02
2007-04-26,2315.91,2315.91,2315.91,2315.91,-0.07
2007-04-27,2315.7,2315.7,2315.7,2315.7,-0.01
2007-04-30,2297.57,2297.57,2297.57,2297.57,-0.78
2007-05-01,2303.68,2303.68,2303.68,2303.68,0.27
2007-05-02,2318.84,2318.84,2318.84,2318.84,0.66
2007-05-03,2329.54,2329.54,2329.54,2329.54,0.46
2007-05-04,2334.61,2334.61,2334.61,2334.61,0.22
2007-05-07,2340.68,2340.68,2340.68,2340.68,0.26
2007-05-08,2338.14,2338.14,2338.14,2338.14,-0.11
2007-05-09,2346.3,2346.3,2346.3,2346.3,0.35
2007-05-10,2313.94,2313.94,2313.94,2313.94,-1.38
2007-05-11,2336.48,2336.48,2336.48,2336.48,0.97
2007-05-14,2332.43,2332.43,2332.43,2332.43,-0.17
2007-05-15,2329.61,2329.61,2329.61,2329.61,-0.12
2007-05-16,2350.4,2350.4,2350.4,2350.4,0.89
2007-05-17,2348.44,2348.44,2348.44,2348.44,-0.08
2007-05-18,2363.97,2363.97,2363.97,2363.97,0.66
2007-05-21,2367.63,2367.63,2367.63,2367.63,0.15
2007-05-22,2366.1,2366.1,2366.1,2366.1,-0.06
2007-05-23,2363.29,2363.29,2363.29,2363.29,-0.12
2007-05-24,2340.64,2340.64,2340.64,2340.64,-0.96
2007-05-25,2353.42,2353.42,2353.42,2353.42,0.55
2007-05-29,2357.39,2357.39,2357.39,2357.39,0.17
2007-05-30,2377.09,2377.09,2377.09,2377.09,0.84
2007-05-31,2377.75,2377.75,2377.75,2377.75,0.03
2007-06-01,2386.63,2386.63,2386.63,2386.63,0.37
2007-06-04,2391.13,2391.13,2391.13,2391.13,0.19
2007-06-05,2378.44,2378.44,2378.44,2378.44,-0.53
2007-06-06,2357.95,2357.95,2357.95,2357.95,-0.86
2007-06-07,2316.63,2316.63,2316.63,2316.63,-1.75
2007-06-08,2342.98,2342.98,2342.98,2342.98,1.14
2007-06-11,2345.27,2345.27,2345.27,2345.27,0.1
2007-06-12,2320.22,2320.22,2320.22,2320.22,-1.07
2007-06-13,2356.02,2356.02,2356.02,2356.02,1.54
2007-06-14,2367.52,2367.52,2367.52,2367.52,0.49
2007-06-15,2382.97,2382.97,2382.97,2382.97,0.65
2007-06-18,2380.09,2380.09,2380.09,2380.09,-0.12
2007-06-19,2384.25,2384.25,2384.25,2384.25,0.18
2007-06-20,2351.87,2351.87,2351.87,2351.87,-1.36
2007-06-21,2366.92,2366.92,2366.92,2366.92,0.64
2007-06-22,2336.41,2336.41,2336.41,2336.41,-1.29
2007-06-25,2328.91,2328.91,2328.91,2328.91,-0.32
2007-06-26,2321.46,2321.46,2321.46,2321.46,-0.32
2007-06-27,2342.84,2342.84,2342.84,2342.84,0.92
2007-06-28,2341.9,2341.9,2341.9,2341.9,-0.04
2007-06-29,2338.25,2338.25,2338.25,2338.25,-0.16
2007-07-02,2363.28,2363.28,2363.28,2363.28,1.07
2007-07-03,2372.22,2372.22,2372.22,2372.22,0.38
2007-07-05,2373.07,2373.07,2373.07,2373.07,0.04
2007-07-06,2381.59,2381.59,2381.59,2381.59,0.36
2007-07-09,2383.8,2383.8,2383.8,2383.8,0.09
2007-07-10,2349.98,2349.98,2349.98,2349.98,-1.42
2007-07-11,2363.72,2363.72,2363.72,2363.72,0.58
2007-07-12,2408.79,2408.79,2408.79,2408.79,1.91
2007-07-13,2416.28,2416.28,2416.28,2416.28,0.31
2007-07-16,2411.65,2411.65,2411.65,2411.65,-0.19
2007-07-17,2411.41,2411.41,2411.41,2411.41,-0.01
2007-07-18,2406.69,2406.69,2406.69,2406.69,-0.2
2007-07-19,2417.5,2417.5,2417.5,2417.5,0.45
2007-07-20,2387.96,2387.96,2387.96,2387.96,-1.22
2007-07-23,2399.64,2399.64,2399.64,2399.64,0.49
2007-07-24,2352.12,2352.12,2352.12,2352.12,-1.98
2007-07-25,2363.12,2363.12,2363.12,2363.12,0.47
2007-07-26,2307.98,2307.98,2307.98,2307.98,-2.33
2007-07-27,2271.41,2271.41,2271.41,2271.41,-1.58
2007-07-30,2294.75,2294.75,2294.75,2294.75,1.03
2007-07-31,2265.75,2265.75,2265.75,2265.75,-1.26
2007-08-01,2282.3,2282.3,2282.3,2282.3,0.73
2007-08-02,2292.79,2292.79,2292.79,2292.79,0.46
2007-08-03,2231.98,2231.98,2231.98,2231.98,-2.65
2007-08-06,2285.93,2285.93,2285.93,2285.93,2.42
2007-08-07,2300.1,2300.1,2300.1,2300.1,0.62
2007-08-08,2333.24,2333.24,2333.24,2333.24,1.44
2007-08-09,2264.5,2264.5,2264.5,2264.5,-2.95
2007-08-10,2265.36,2265.36,2265.36,2265.36,0.04
2007-08-13,2264.58,2264.58,2264.58,2264.58,-0.03
2007-08-14,2223.71,2223.71,2223.71,2223.71,-1.8
2007-08-15,2193.4,2193.4,2193.4,2193.4,-1.36
2007-08-16,2200.61,2200.61,2200.61,2200.61,0.33
2007-08-17,2254.68,2254.68,2254.68,2254.68,2.46
2007-08-20,2254.07,2254.07,2254.07,2254.07,-0.03
2007-08-21,2256.52,2256.52,2256.52,2256.52,0.11
2007-08-22,2283.08,2283.08,2283.08,2283.08,1.18
2007-08-23,2280.68,2280.68,2280.68,2280.68,-0.11
2007-08-24,2307.22,2307.22,2307.22,2307.22,1.16
2007-08-27,2287.62,2287.62,2287.62,2287.62,-0.85
2007-08-28,2234.02,2234.02,2234.02,2234.02,-2.34
2007-08-29,2283.58,2283.58,2283.58,2283.58,2.22
2007-08-30,2274.16,2274.16,2274.16,2274.16,-0.41
2007-08-31,2299.71,2299.71,2299.71,2299.71,1.12
2007-09-04,2323.83,2323.83,2323.83,2323.83,1.05
2007-09-05,2298.16,2298.16,2298.16,2298.16,-1.1
2007-09-06,2308.35,2308.35,2308.35,2308.35,0.44
2007-09-07,2269.32,2269.32,2269.32,2269.32,-1.69
2007-09-10,2266.51,2266.51,2266.51,2266.51,-0.12
2007-09-11,2297.41,2297.41,2297.41,2297.41,1.36
2007-09-12,2298.14,2298.14,2298.14,2298.14,0.03
2007-09-13,2317.63,2317.63,2317.63,2317.63,0.85
2007-09-14,2318.11,2318.11,2318.11,2318.11,0.02
2007-09-17,2306.25,2306.25,2306.25,2306.25,-0.51
2007-09-18,2373.63,2373.63,2373.63,2373.63,2.92
2007-09-19,2388.15,2388.15,2388.15,2388.15,0.61
2007-09-20,2372.61,2372.61,2372.61,2372.61,-0.65
2007-09-21,2383.55,2383.55,2383.55,2383.55,0.46
2007-09-24,2371.03,2371.03,2371.03,2371.03,-0.53
2007-09-25,2370.26,2370.26,2370.26,2370.26,-0.03
2007-09-26,2383.53,2383.53,2383.53,2383.53,0.56
2007-09-27,2392.92,2392.92,2392.92,2392.92,0.39
2007-09-28,2385.72,2385.72,2385.72,2385.72,-0.3
2007-10-01,2417.44,2417.44,2417.44,2417.44,1.33
2007-10-02,2416.83,2416.83,2416.83,2416.83,-0.03
2007-10-03,2406.3,2406.3,2406.3,2406.3,-0.44
2007-10-04,2411.41,2411.41,2411.41,2411.41,0.21
2007-10-05,2435.16,2435.16,2435.16,2435.16,0.98
